COD_PACTO,COD_ZONA,LETRA_PACTO,GLOSA_PACTO,COD_IMFD,GLOSA_IMFD,COD_SERVEL,GLOSA_SERVEL
160,6027,XC,"A PULSO, POR EL BUEN VIVIR (D27)",11,INDEPENDIENTES Y OTROS,5,INDEPENDIENTES
192,6001,YQ,APRUEBO DIGNIDAD,3,APRUEBO DIGNIDAD,3,APRUEBO DIGNIDAD
192,6002,YQ,APRUEBO DIGNIDAD,3,APRUEBO DIGNIDAD,3,APRUEBO DIGNIDAD
192,6003,YQ,APRUEBO DIGNIDAD,3,APRUEBO DIGNIDAD,3,APRUEBO DIGNIDAD
192,6004,YQ,APRUEBO DIGNIDAD,3,APRUEBO DIGNIDAD,3,APRUEBO DIGNIDAD
192,6005,YQ,APRUEBO DIGNIDAD,3,APRUEBO DIGNIDAD,3,APRUEBO DIGNIDAD
192,6006,YQ,APRUEBO DIGNIDAD,3,APRUEBO DIGNIDAD,3,APRUEBO DIGNIDAD
192,6007,YQ,APRUEBO DIGNIDAD,3,APRUEBO DIGNIDAD,3,APRUEBO DIGNIDAD
192,6008,YQ,APRUEBO DIGNIDAD,3,APRUEBO DIGNIDAD,3,APRUEBO DIGNIDAD
192,6009,YQ,APRUEBO DIGNIDAD,3,APRUEBO DIGNIDAD,3,APRUEBO DIGNIDAD
192,6010,YQ,APRUEBO DIGNIDAD,3,APRUEBO DIGNIDAD,3,APRUEBO DIGNIDAD
192,6011,YQ,APRUEBO DIGNIDAD,3,APRUEBO DIGNIDAD,3,APRUEBO DIGNIDAD
192,6012,YQ,APRUEBO DIGNIDAD,3,APRUEBO DIGNIDAD,3,APRUEBO DIGNIDAD
192,6013,YQ,APRUEBO DIGNIDAD,3,APRUEBO DIGNIDAD,3,APRUEBO DIGNIDAD
192,6014,YQ,APRUEBO DIGNIDAD,3,APRUEBO DIGNIDAD,3,APRUEBO DIGNIDAD
192,6015,YQ,APRUEBO DIGNIDAD,3,APRUEBO DIGNIDAD,3,APRUEBO DIGNIDAD
192,6016,YQ,APRUEBO DIGNIDAD,3,APRUEBO DIGNIDAD,3,APRUEBO DIGNIDAD
192,6017,YQ,APRUEBO DIGNIDAD,3,APRUEBO DIGNIDAD,3,APRUEBO DIGNIDAD
192,6018,YQ,APRUEBO DIGNIDAD,3,APRUEBO DIGNIDAD,3,APRUEBO DIGNIDAD
192,6019,YQ,APRUEBO DIGNIDAD,3,APRUEBO DIGNIDAD,3,APRUEBO DIGNIDAD
192,6020,YQ,APRUEBO DIGNIDAD,3,APRUEBO DIGNIDAD,3,APRUEBO DIGNIDAD
192,6021,YQ,APRUEBO DIGNIDAD,3,APRUEBO DIGNIDAD,3,APRUEBO DIGNIDAD
192,6022,YQ,APRUEBO DIGNIDAD,3,APRUEBO DIGNIDAD,3,APRUEBO DIGNIDAD
192,6023,YQ,APRUEBO DIGNIDAD,3,APRUEBO DIGNIDAD,3,APRUEBO DIGNIDAD
192,6024,YQ,APRUEBO DIGNIDAD,3,APRUEBO DIGNIDAD,3,APRUEBO DIGNIDAD
192,6025,YQ,APRUEBO DIGNIDAD,3,APRUEBO DIGNIDAD,3,APRUEBO DIGNIDAD
192,6026,YQ,APRUEBO DIGNIDAD,3,APRUEBO DIGNIDAD,3,APRUEBO DIGNIDAD
192,6027,YQ,APRUEBO DIGNIDAD,3,APRUEBO DIGNIDAD,3,APRUEBO DIGNIDAD
192,6028,YQ,APRUEBO DIGNIDAD,3,APRUEBO DIGNIDAD,3,APRUEBO DIGNIDAD
304,6001,WK,ARICA SIEMPRE ARICA (D1),11,INDEPENDIENTES Y OTROS,5,INDEPENDIENTES
306,6004,WJ,ASAMBLEA CONSTITUYENTE ATACAMA,10,LA LISTA DEL PUEBLO Y OTROS,5,INDEPENDIENTES
241,6020,ZW,ASAMBLEA POPULAR CONSTITUYENTE (D20),11,INDEPENDIENTES Y OTROS,5,INDEPENDIENTES
245,6017,XI,ASAMBLEA POPULAR POR LA DIGNIDAD (D17),11,INDEPENDIENTES Y OTROS,5,INDEPENDIENTES
246,6002,XN,AUTONOMIA SOCIAL Y SINDICAL TARAPACA (D2),11,INDEPENDIENTES Y OTROS,5,INDEPENDIENTES
233,6021,F,BIOBIO SIN PARTIDOS (D21),11,INDEPENDIENTES Y OTROS,5,INDEPENDIENTES
250,6002,ZF,CABILDO AUTOCONVOCADO (D2),11,INDEPENDIENTES Y OTROS,5,INDEPENDIENTES
225,6024,W,CHILE INDEPENDIENTE (D24),11,INDEPENDIENTES Y OTROS,5,INDEPENDIENTES
