cod_zona,glosa_zona,votos_2016,votos_2017,votos_2020,electores_2016,electores_2017,electores_2020,electores_2021,part_2016,part_2017,part_2020
2739,AYSEN,7817,8795,8984,21576,21890,22398,22587,0.3623007044864665,0.4017816354499771,0.4011072417180105
2564,ALGARROBO,5854,6329,7086,11560,11810,12896,13779,0.506401384083045,0.5359017781541067,0.5494727047146402
2801,ALHUE,3105,2203,2640,5813,5776,6004,6153,0.5341476002064338,0.3814058171745152,0.4397068620919387
2674,ALTO BIOBIO,3149,1876,1805,5319,5290,5483,5557,0.5920285768001504,0.3546313799621928,0.3291993434251322
2523,ALTO DEL CARMEN,2633,1927,1817,4858,4786,4871,5202,0.5419925895430219,0.402632678646051,0.3730240197084788
2502,ALTO HOSPICIO,14113,18684,26129,48675,51451,57742,58683,0.2899435028248588,0.3631416299002935,0.452512902220221
2717,ANCUD,16210,15484,14360,37520,37998,38601,38845,0.4320362473347548,0.4074951313227012,0.3720110877956529
2528,ANDACOLLO,5847,5160,6071,11013,11040,11221,11296,0.5309180059929175,0.4673913043478261,0.5410391230728099
2696,ANGOL,18382,21288,19538,46099,46499,47395,47137,0.3987505151955574,0.4578162971246694,0.4122375778035658
2508,ANTOFAGASTA,66198,108615,144073,260299,264504,284389,286950,0.2543152297934299,0.4106365121132384,0.506605389097328
2662,ANTUCO,2517,1872,1793,4378,4440,4558,4718,0.5749200548195523,0.4216216216216217,0.3933742869679684
2655,ARAUCO,13321,14354,14467,29547,29925,30844,31158,0.4508410329305852,0.4796658312447786,0.4690377382959409
2822,ARICA,48981,71229,84201,168409,172372,180315,180060,0.2908455011311747,0.4132283665560532,0.4669661425838116
2797,BUIN,27297,31858,40566,64927,67229,73511,75333,0.4204260169113004,0.4738728822383198,0.5518357796792317
2827,BULNES,10111,9680,7926,19906,20161,20518,20535,0.5079373053350749,0.4801349139427608,0.3862949605224681
2554,CABILDO,8737,8331,9099,17704,17830,18037,18038,0.4935042928151829,0.4672462142456534,0.5044630481787437
2751,CABO DE HORNOS(EX-NAVARINO) Y ANTARTICA,865,779,645,2017,1943,1916,2182,0.428854734754586,0.4009264024704066,0.3366388308977035
2663,CABRERO,13995,11042,10055,23844,24289,24926,25103,0.5869401107196779,0.4546090823006299,0.4033940463772767
2512,CALAMA,34782,50589,62826,122815,125030,132447,132333,0.2832064487236901,0.4046148924258178,0.4743482298579809
2708,CALBUCO,12158,11893,11311,30439,30955,31956,32409,0.3994217944084891,0.3842028751413342,0.3539554387282514
2518,CALDERA,6593,6153,8023,13668,13921,14652,15024,0.4823675738952297,0.4419941096185619,0.5475702975702975
2559,CALERA,17478,20524,24215,43763,44286,44986,44980,0.3993784703973676,0.46344217134083,0.5382785755568399
2798,CALERA DE TANGO,10057,11810,12750,20910,21303,22016,22305,0.4809660449545672,0.5543820119232034,0.579124273255814
2550,CALLE LARGA,5147,5480,6609,10477,10666,11265,11445,0.491266583945786,0.5137821113819614,0.5866844207723036
2823,CAMARONES,2475,1143,919,4551,4023,3471,3392,0.5438365194462755,0.2841163310961969,0.2647651973494669
2504,CAMIÑA,1662,764,513,2978,2820,2549,2802,0.5580926796507724,0.2709219858156028,0.2012553942722636
2533,CANELA,5392,4098,3781,8591,8778,8913,9047,0.6276335700151321,0.4668489405331511,0.4242118254235386
2676,CARAHUE,11691,10262,7262,23709,24051,24601,24697,0.4931038846007845,0.4266766454617272,0.2951912523881143
2565,CARTAGENA,7715,8401,9075,16962,17294,17721,18227,0.4548402311048225,0.4857754134381866,0.5121042830540037
2542,CASABLANCA,9464,10239,11508,21105,21299,22139,22469,0.448424543946932,0.4807267946851965,0.5198066760016261
2716,CASTRO,13592,16062,16660,38678,39467,41089,41394,0.3514142406536016,0.4069729140801175,0.4054613156805958
2570,CATEMU,5734,5411,5965,11566,11716,12039,12182,0.4957634445789383,0.4618470467736429,0.4954730459340477
2622,CAUQUENES,17530,17217,13062,36979,37336,37616,37610,0.474052840801536,0.4611367045211056,0.3472458528285836
2656,CAÑETE,12542,12048,10523,28368,28748,29343,29478,0.4421178793006204,0.4190900236538194,0.3586204546229084
2759,CERRILLOS,21571,31945,37316,67584,67804,67845,67537,0.3191731770833333,0.4711373960238334,0.5500184243496204
2760,CERRO NAVIA,36525,50772,64105,116423,116335,116544,115479,0.3137266691289522,0.4364292775175141,0.5500497666117518
2733,CHAITEN,2200,1437,1363,5155,5124,5065,5169,0.4267701260911736,0.2804449648711944,0.269101678183613
2623,CHANCO,5963,4459,2810,9209,9193,9250,9488,0.6475187316755348,0.4850429674752529,0.3037837837837838
2520,CHAÑARAL,5571,5052,5764,11727,11818,11989,12045,0.4750575594781274,0.42748349974615,0.4807740428726333
2603,CHEPICA,6866,5566,4915,13299,13377,13593,13750,0.5162794195052259,0.4160873140464977,0.3615831678069595
2644,CHIGUAYANTE,23799,33210,38309,63907,64745,66892,67398,0.3724005195049056,0.5129353618040003,0.5726992764456138
2745,CHILE CHICO,2467,2061,1685,6184,6209,6387,6456,0.3989327296248383,0.3319375100660332,0.2638171285423517
2826,CHILLAN,49523,71265,75554,146514,148780,152870,152723,0.3380086544630547,0.4789958327732222,0.4942369333420553
2828,CHILLAN VIEJO,8971,10444,11273,19485,19940,21631,22462,0.4604054400821144,0.5237713139418255,0.5211502011002728
2604,CHIMBARONGO,13789,14432,13902,28809,29249,30271,30510,0.4786351487382415,0.4934185784129372,0.4592514287601995
2695,CHOLCHOL,5975,5094,4218,9811,9938,10384,11095,0.6090102945673224,0.5125779834976857,0.4062018489984592
2718,CHONCHI,6724,5348,3638,12160,12354,12960,13190,0.5529605263157895,0.4328962279423668,0.2807098765432099
2740,CISNES,2194,1764,1740,4165,4253,4479,4569,0.5267707082833133,0.4147660474958853,0.3884795713328868
2836,COBQUECURA,4311,2755,2075,5735,5647,5643,5884,0.7517000871839582,0.4878696653090137,0.367712209817473
2709,COCHAMO,2207,1478,1159,4477,4438,4479,4642,0.4929640384185839,0.3330328977016674,0.2587631167671355
2742,COCHRANE,1442,1383,1181,3192,3267,3360,3384,0.4517543859649123,0.4233241505968779,0.3514880952380952
2580,CODEGUA,6209,5039,5932,10712,10799,11297,11680,0.5796303211351755,0.4666172793777202,0.5250951580065504
2837,COELEMU,9035,7747,6789,14821,14930,15253,15414,0.6096079886647324,0.5188881446751507,0.4450927686356782
2843,COIHUECO,12065,9835,7229,20525,20925,21839,22169,0.5878197320341048,0.4700119474313023,0.3310133247859334
2581,COINCO,3681,3122,3346,6704,6809,7011,7240,0.5490751789976134,0.4585107945366427,0.4772500356582513
2635,COLBUN,9951,8622,6924,16710,17015,17932,18445,0.5955116696588869,0.506729356450191,0.3861253624804818
2505,COLCHANE,2138,646,524,3765,3379,2995,3463,0.5678618857901726,0.1911808227286179,0.1749582637729549
2793,COLINA,24250,37573,49450,74843,79070,87987,90446,0.3240115976109989,0.4751865435689895,0.5620148431018218
2697,COLLIPULLI,10220,9485,8340,21376,21603,21994,22160,0.4781062874251497,0.439059389899551,0.3791943257251978
2582,COLTAUCO,7386,6771,7567,14950,15198,15903,16168,0.4940468227424749,0.4455191472562179,0.4758221719172483
2537,COMBARBALA,6437,5409,5074,12348,12406,12460,12550,0.5212989957887917,0.435998710301467,0.4072231139646869
2642,CONCEPCION,56552,97046,104533,198961,199158,201159,201066,0.2842366091847146,0.4872814549252352,0.5196536073454332
2761,CONCHALI,31369,55794,65349,121265,120866,119859,118624,0.2586814002391457,0.4616186520609601,0.5452156283633269
2543,CONCON,15454,20565,24384,34300,35636,38162,39439,0.4505539358600583,0.5770849702547985,0.6389602222105759
2613,CONSTITUCION,18715,17949,18314,38421,38901,39911,40000,0.4871034069909685,0.4614020205136115,0.4588709879481847
2657,CONTULMO,3557,2595,2094,5779,5834,6025,6052,0.615504412528119,0.4448063078505314,0.347551867219917
2517,COPIAPO,40190,51897,60971,116156,117897,123347,123973,0.3460002066186852,0.4401893177943459,0.4943046851565097
2527,COQUIMBO,40811,68739,81691,152428,156212,165547,167854,0.2677395229222978,0.4400366169052313,0.4934610714781905
2643,CORONEL,36538,41697,44303,85044,86427,88986,89810,0.4296364234984244,0.4824533999791732,0.4978648326703077
2811,CORRAL,3210,2573,2379,5441,5397,5446,5565,0.5899650799485389,0.4767463405595702,0.4368343738523687
2737,COYHAIQUE,14924,21134,22515,51827,52542,53940,54229,0.2879580141625022,0.4022305964752008,0.4174082313681869
2677,CUNCO,8574,7566,6082,19297,19463,19878,20001,0.4443177696014924,0.3887376046858141,0.3059663950095583
2698,CURACAUTIN,6740,7186,5923,20536,20745,20992,21202,0.3282041293338527,0.3463967221017112,0.2821551067073171
2802,CURACAVI,11383,12439,14789,23570,24246,25834,26345,0.4829444208739924,0.5130330776210509,0.5724626461252613
2719,CURACO DE VELEZ,2288,1371,1315,3637,3636,3714,3797,0.6290899092658785,0.3770627062706271,0.3540656973613355
2658,CURANILAHUE,13982,13624,13158,30054,30333,30642,30624,0.4652292540094496,0.4491477928328883,0.4294106128842765
2678,CURARREHUE,3955,2990,2655,7887,7952,8322,8517,0.5014580956003549,0.3760060362173038,0.3190338860850757
2614,CUREPTO,5635,4582,3560,10117,10152,10149,10310,0.5569832954433133,0.4513396375098503,0.3507734752192334
2625,CURICO,41959,57127,63012,110981,112702,117175,117810,0.3780737243311919,0.5068854146332807,0.5377597610411777
2720,DALCAHUE,5226,4143,4012,11254,11537,12332,12598,0.4643682246312422,0.3591054866949814,0.3253324683749594
